species,Compartment,MP_Form,Size_Fraction_um,mass_g,number_of_particles,concentration_g_m3,concentration_num_m3,mass_fraction,number_fraction
aC9_Utopia,Sediment_Coast,biofMP,0.5,0.24350127585050302,289440327.129431,2.0991489297457157e-13,0.00024951752338744053,2.1808249169184447e-11,4.033268226332801e-09
eD9_Utopia,Sediment_Coast,heterBiofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dD9_Utopia,Sediment_Coast,heterBiofMP,500.0,20917740.268963136,326121968533.9959,1.8032534714623392e-05,0.2811396280465482,0.0018734164338502337,4.544416414403383e-06
cD9_Utopia,Sediment_Coast,heterBiofMP,50.0,641122.2269713837,9995536804758.834,5.526915749753308e-07,8.61684207306796,5.7419630451047095e-05,0.00013928494829867333
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,4590.963872639043,71576286748096.1,3.957727476412968e-09,61.703695472496634,4.111719074634549e-07,0.0009973950968169257
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,5.263943899120813,82068508575037.0,4.537882671655873e-12,70.748714288825,4.714447584049399e-10,0.0011436012089296743
eA10_Utopia,Urban_Soil_Surface,freeMP,5000.0,1.7471728829060878e-12,2.723962782863227e-11,9.00604578817571e-20,1.404104527249086e-18,1.5647877588720066e-22,3.795764277492138e-28
dA10_Utopia,Urban_Soil_Surface,freeMP,500.0,1.1197184251746624e-12,1.745718095388931e-08,5.771744459663209e-20,8.998546883448098e-16,1.0028324627969463e-22,2.4326082671672213e-25
cA10_Utopia,Urban_Soil_Surface,freeMP,50.0,7.614960684137229e-14,1.187224784650659e-06,3.925237466050118e-21,6.11971538479721e-14,6.820044758827694e-24,1.6543638023546884e-23
bA10_Utopia,Urban_Soil_Surface,freeMP,5.0,5.193146567014469e-16,8.096472943749152e-06,2.6768796737187984e-23,4.173439661726367e-13,4.6510406941390325e-26,1.12822036214684e-22
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,3.564321969459847e-19,5.557023283695421e-06,1.837279365700952e-26,2.864444991595578e-13,3.1922469957365523e-29,7.743553106577905e-23
eB10_Utopia,Urban_Soil_Surface,heterMP,5000.0,2.2677480635457574e-11,3.535575320820057e-10,1.1689423007967822e-18,1.822461505577349e-17,2.0310207677558353e-21,4.9267231503968094e-27
dB10_Utopia,Urban_Soil_Surface,heterMP,500.0,1.4533418243420734e-11,2.2658599380855578e-07,7.491452702794193e-19,1.1679690402502875e-14,1.3016293455771459e-21,3.157411057483437e-24
cB10_Utopia,Urban_Soil_Surface,heterMP,50.0,9.884239105308095e-13,1.5410209100199144e-05,5.094968610983554e-20,7.943406752679971e-13,8.852436132149753e-23,2.1473685903203174e-22
bB10_Utopia,Urban_Soil_Surface,heterMP,5.0,6.765989958789016e-15,0.00010548644050789233,3.487623690097431e-22,5.437445387004759e-12,6.059696992637588e-25,1.4699233967462099e-21
aB10_Utopia,Urban_Soil_Surface,heterMP,0.5,4.589902507742612e-18,7.155973933882024e-05,2.3659291277023774e-25,3.6886463576711465e-12,4.110768504250884e-28,9.971645133984975e-22
eC10_Utopia,Urban_Soil_Surface,biofMP,5000.0,3.1980168204672275e-12,4.943831781855858e-11,1.6484622785913545e-19,2.5483668978638446e-18,2.864179968847922e-22,6.889088275932223e-28
dC10_Utopia,Urban_Soil_Surface,biofMP,500.0,5.184564294181614e-14,7.438265525852563e-10,2.6724558217431002e-21,3.8341574875528674e-17,4.643354313699214e-24,1.036501039851031e-26
cC10_Utopia,Urban_Soil_Surface,biofMP,50.0,3.715438077803035e-15,2.8519838711015872e-08,1.915174266908781e-22,1.4700947789183438e-15,3.327588288414174e-25,3.9741580046597515e-25
bC10_Utopia,Urban_Soil_Surface,biofMP,5.0,1.6836256951905603e-16,6.939653006308999e-08,8.678482964899795e-24,3.577140724901546e-15,1.507874180129528e-26,9.670208104624182e-25
aC10_Utopia,Urban_Soil_Surface,biofMP,0.5,3.8102112270611515e-19,4.5290472509470103e-10,1.9640264057016246e-26,2.3345604386324794e-17,3.4124681908438536e-29,6.3110978881101034e-27
eD10_Utopia,Urban_Soil_Surface,heterBiofMP,5000.0,3.359471207789776e-11,5.237646846314866e-10,1.7316861895823587e-18,2.6998179620179725e-17,3.0087803408948384e-21,7.298511169988905e-27
dD10_Utopia,Urban_Soil_Surface,heterBiofMP,500.0,5.446310268280379e-13,8.491172579353165e-09,2.807376426948649e-20,4.376893082140807e-16,4.8777769631181563e-23,1.1832206281780116e-25
cD10_Utopia,Urban_Soil_Surface,heterBiofMP,50.0,3.903000006003013e-14,6.085045653972996e-07,2.0118556731974296e-21,3.136621471120101e-14,3.495570868815481e-24,8.479337186825002e-24
bD10_Utopia,Urban_Soil_Surface,heterBiofMP,5.0,1.7684581942646218e-15,2.757148048345292e-05,9.115763887961967e-23,1.421210334198604e-12,1.5838511240280714e-25,3.8420069963899014e-22
aD10_Utopia,Urban_Soil_Surface,heterBiofMP,0.5,4.0013307115613284e-18,6.238349992069188e-05,2.062541603897592e-25,3.2156443258088597e-12,3.583636958831125e-28,8.692962399985385e-22
eA11_Utopia,Urban_Soil,freeMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dA11_Utopia,Urban_Soil,freeMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cA11_Utopia,Urban_Soil,freeMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bA11_Utopia,Urban_Soil,freeMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aA11_Utopia,Urban_Soil,freeMP,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
eB11_Utopia,Urban_Soil,heterMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dB11_Utopia,Urban_Soil,heterMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cB11_Utopia,Urban_Soil,heterMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bB11_Utopia,Urban_Soil,heterMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aB11_Utopia,Urban_Soil,heterMP,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
eC11_Utopia,Urban_Soil,biofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dC11_Utopia,Urban_Soil,biofMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cC11_Utopia,Urban_Soil,biofMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bC11_Utopia,Urban_Soil,biofMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aC11_Utopia,Urban_Soil,biofMP,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
eD11_Utopia,Urban_Soil,heterBiofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dD11_Utopia,Urban_Soil,heterBiofMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cD11_Utopia,Urban_Soil,heterBiofMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bD11_Utopia,Urban_Soil,heterBiofMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aD11_Utopia,Urban_Soil,heterBiofMP,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
eA12_Utopia,Background_Soil_Surface,freeMP,5000.0,1.7471728829060878e-12,2.723962782863227e-11,1.4667827016572819e-21,2.2868151909594237e-20,1.5647877588720066e-22,3.795764277492138e-28
dA12_Utopia,Background_Soil_Surface,freeMP,500.0,1.1197184251746624e-12,1.745718095388931e-08,9.400235276324444e-22,1.4655613816690712e-17,1.0028324627969463e-22,2.4326082671672213e-25
cA12_Utopia,Background_Soil_Surface,freeMP,50.0,7.614960684137229e-14,1.187224784650659e-06,6.392894895847098e-23,9.966963167422167e-16,6.820044758827694e-24,1.6543638023546884e-23
bA12_Utopia,Background_Soil_Surface,freeMP,5.0,5.193146567014469e-16,8.096472943749152e-06,4.359738882278173e-25,6.797132999554344e-15,4.6510406941390325e-26,1.12822036214684e-22
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,3.564321969459847e-19,5.557023283695421e-06,2.992311670522723e-28,4.665219856018856e-15,3.1922469957365523e-29,7.743553106577905e-23
eB12_Utopia,Background_Soil_Surface,heterMP,5000.0,2.2677480635457574e-11,3.535575320820057e-10,1.9038148221445964e-20,2.9681783478458453e-19,2.0310207677558353e-21,4.9267231503968094e-27
dB12_Utopia,Background_Soil_Surface,heterMP,500.0,1.4533418243420734e-11,2.2658599380855578e-07,1.2201063033866764e-20,1.9022297072480254e-16,1.3016293455771459e-21,3.157411057483437e-24
cB12_Utopia,Background_Soil_Surface,heterMP,50.0,9.884239105308095e-13,1.5410209100199144e-05,8.2979944804292415e-22,1.2937144548338715e-14,8.852436132149753e-23,2.1473685903203174e-22
bB12_Utopia,Background_Soil_Surface,heterMP,5.0,6.765989958789016e-15,0.00010548644050789233,5.68016887638018e-24,8.85577424593609e-14,6.059696992637588e-25,1.4699233967462099e-21
